covidRelatedDeaths, totalExposures, facilityPopulationExposures, avgHappiness, residentInfections, facilityPopulationInfections, residentExposures
1,477,5.0,50.07218119432538,1.0,5.0,0.0
1,12,3.0,52.40059942626383,1.0,4.0,0.0
1,477,5.0,49.9804782199651,1.0,6.0,0.0
1,453,5.0,49.5514271259623,1.0,5.0,0.0
1,454,5.0,50.33125449457619,1.0,5.0,0.0
1,423,4.0,49.03670721170753,1.0,5.0,0.0
1,457,5.0,50.73885666908062,1.0,5.0,0.0
1,467,5.0,51.34193309629738,1.0,6.0,0.0
1,5,0.0,51.10401727840108,1.0,1.0,0.0
1,8,0.0,50.43414407168478,1.0,1.0,0.0
1,8,0.0,51.334555020740396,1.0,1.0,0.0
1,479,5.0,49.35078417840677,1.0,5.0,0.0
1,488,7.0,49.303056795344304,1.0,7.0,0.0
1,492,5.0,48.190434280578046,1.0,5.0,0.0
1,452,6.0,51.389615138987644,1.0,6.0,0.0
1,462,6.0,49.916577704037394,1.0,7.0,0.0
1,9,0.0,49.41118512053944,1.0,1.0,0.0
1,458,6.0,51.24898297984525,1.0,7.0,0.0
1,5,0.0,50.13350539886009,1.0,1.0,0.0
1,448,6.0,50.78388138938061,1.0,6.0,0.0
1,9,0.0,50.96173019792065,1.0,1.0,0.0
1,438,6.0,51.30903017861436,1.0,6.0,0.0
1,13,4.0,48.30362563289588,1.0,5.0,0.0
1,444,7.0,51.14886093979922,1.0,6.0,0.0
1,10,0.0,50.22462094921168,1.0,1.0,0.0
1,418,6.0,49.3967188641436,1.0,7.0,0.0
1,414,5.0,50.732218229908234,1.0,6.0,0.0
1,11,4.0,51.386466041860196,1.0,5.0,0.0
1,456,5.0,51.20993699499822,1.0,6.0,0.0
1,464,6.0,50.143783828773415,1.0,6.0,0.0
1,6,0.0,50.23568042914281,1.0,1.0,0.0
1,10,0.0,47.663473619388334,1.0,1.0,0.0
1,489,5.0,52.099654659916084,1.0,5.0,0.0
1,440,6.0,49.28923003400758,1.0,7.0,0.0
1,8,4.0,50.40282968166323,1.0,4.0,0.0
1,444,6.0,49.82146808966718,1.0,6.0,0.0
1,9,0.0,49.71330971526855,1.0,1.0,0.0
1,6,0.0,51.60345650546778,1.0,1.0,0.0
1,7,0.0,50.66722739847642,1.0,1.0,0.0
1,7,0.0,49.63716440669943,1.0,1.0,0.0
1,440,5.0,47.936267606691054,1.0,5.0,0.0
1,478,5.0,47.8613763201397,1.0,5.0,0.0
1,7,0.0,50.57669268252527,1.0,1.0,0.0
1,8,0.0,50.14416528165825,1.0,1.0,0.0
1,8,3.0,50.69295509483553,1.0,4.0,0.0
1,487,5.0,48.82350944117911,1.0,5.0,0.0
1,500,4.0,50.99325413773013,1.0,5.0,0.0
1,443,6.0,49.95875746241167,1.0,6.0,0.0
1,8,0.0,51.64895062189076,1.0,1.0,0.0
1,7,0.0,51.25582886510251,1.0,1.0,0.0
1,8,0.0,49.822764212821404,1.0,1.0,0.0
1,456,5.0,49.59052163023077,1.0,6.0,0.0
1,7,0.0,50.150941552047705,1.0,1.0,0.0
1,5,0.0,49.34519817794629,1.0,1.0,0.0
1,467,7.0,49.39220996753083,1.0,6.0,0.0
1,445,5.0,49.955812774110555,1.0,6.0,0.0
1,450,7.0,48.336591156776194,1.0,6.0,0.0
1,476,4.0,49.50531751878013,1.0,5.0,0.0
1,481,5.0,49.146982480228516,1.0,5.0,0.0
1,2,0.0,49.2644205820266,1.0,1.0,0.0
1,6,0.0,49.455045767360694,1.0,1.0,0.0
1,457,6.0,50.194280725359995,1.0,7.0,0.0
1,11,4.0,49.2501596874288,1.0,5.0,0.0
1,8,0.0,49.720569237967986,1.0,1.0,0.0
1,491,5.0,48.98599025750935,1.0,6.0,0.0
1,5,0.0,50.01346208321469,1.0,1.0,0.0
1,472,6.0,51.04742242756432,1.0,6.0,0.0
1,439,5.0,49.42153952806263,1.0,6.0,0.0
1,2,0.0,49.079675897158126,1.0,1.0,0.0
1,494,6.0,51.46873973273406,1.0,6.0,0.0
1,491,6.0,50.990707252531934,1.0,6.0,0.0
1,437,5.0,48.82884229454049,1.0,6.0,0.0
1,5,0.0,50.268334492930975,1.0,1.0,0.0
1,446,5.0,50.60823815502154,1.0,6.0,0.0
1,7,0.0,51.030019586522705,1.0,1.0,0.0
1,14,3.0,49.93461850177562,1.0,4.0,0.0
1,434,6.0,51.74414473402208,1.0,6.0,0.0
1,475,4.0,49.487284477330626,1.0,5.0,0.0
1,13,4.0,50.473625323888015,1.0,4.0,0.0
1,431,5.0,50.510236312387256,1.0,5.0,0.0
1,10,0.0,48.86067147964335,1.0,1.0,0.0
1,6,0.0,49.95670054242761,1.0,1.0,0.0
1,480,5.0,48.68978895032624,1.0,5.0,0.0
1,461,5.0,51.961865911276995,1.0,6.0,0.0
1,10,3.0,49.296002457197766,1.0,4.0,0.0
1,457,5.0,48.52023265531457,1.0,5.0,0.0
1,448,7.0,50.67899071460617,1.0,6.0,0.0
1,473,5.0,49.74983832516052,1.0,5.0,0.0
1,459,6.0,48.66312770954276,1.0,5.0,0.0
1,6,0.0,51.86326548942724,1.0,1.0,0.0
1,465,4.0,49.53021938770666,1.0,5.0,0.0
1,9,3.0,51.10683382515471,1.0,4.0,0.0
1,12,5.0,50.08005003689846,1.0,6.0,0.0
1,8,0.0,51.039272887056924,1.0,1.0,0.0
1,3,0.0,50.42961731741654,1.0,1.0,0.0
1,14,3.0,48.494685361481416,1.0,4.0,0.0
1,10,4.0,50.51943705489805,1.0,5.0,0.0
1,461,7.0,51.85755240692259,1.0,8.0,0.0
1,457,6.0,49.05651871588019,1.0,6.0,0.0
1,463,5.0,50.416476782751204,1.0,6.0,0.0
